GAME_ID,FECHA,LOCAL,VISITANTE,PTS_LOCAL,PTS_VISITANTE
0022300154,2023-11-06,MIN,BOS,114,109
0022300164,2023-11-08,MEM,MIA,102,108
0022300160,2023-11-08,BKN,LAC,100,93
0022300161,2023-11-08,NYK,SAS,126,105
0022300162,2023-11-08,CHI,PHX,115,116
0022300163,2023-11-08,HOU,LAL,128,94
0022300165,2023-11-08,MIL,DET,120,118
0022300166,2023-11-08,MIN,NOP,122,101
0022300167,2023-11-08,OKC,CLE,128,120
0022300168,2023-11-08,DAL,TOR,116,127
0022300169,2023-11-08,DEN,GSW,108,105
0022300159,2023-11-08,PHI,BOS,106,103
0022300170,2023-11-08,SAC,POR,121,118
0022300157,2023-11-08,CHA,WAS,116,132
0022300158,2023-11-08,IND,UTA,134,118
0022300172,2023-11-09,ORL,ATL,119,120
0022300171,2023-11-09,IND,MIL,126,124
0022300008,2023-11-10,DET,PHI,106,114
0022300009,2023-11-10,WAS,CHA,117,124
0022300010,2023-11-10,BOS,BKN,121,107
0022300011,2023-11-10,HOU,NOP,104,101
0022300016,2023-11-10,SAC,OKC,105,98
0022300012,2023-11-10,MEM,UTA,121,127
0022300013,2023-11-10,SAS,MIN,110,117
0022300014,2023-11-10,DAL,LAC,144,126
0022300015,2023-11-10,PHX,LAL,119,122
0022300176,2023-11-11,GSW,CLE,110,118
0022300174,2023-11-11,BOS,TOR,117,94
0022300175,2023-11-11,ATL,MIA,109,117
0022300173,2023-11-11,ORL,MIL,112,97
0022300185,2023-11-12,PHX,OKC,99,111
0022300184,2023-11-12,SAS,MIA,113,118
0022300177,2023-11-12,NYK,CHA,129,107
0022300178,2023-11-12,BKN,WAS,102,94
0022300179,2023-11-12,LAC,MEM,101,105
0022300180,2023-11-12,PHI,IND,137,126
0022300181,2023-11-12,CHI,DET,119,108
0022300182,2023-11-12,HOU,DEN,107,104
0022300183,2023-11-12,NOP,DAL,124,136
0022300187,2023-11-12,LAL,POR,116,110
0022300186,2023-11-12,GSW,MIN,110,116
0022300191,2023-11-13,SAC,CLE,132,120
0022300190,2023-11-13,MIL,CHI,118,109
0022300189,2023-11-13,TOR,WAS,111,107
0022300188,2023-11-13,BOS,NYK,114,98
0022300022,2023-11-14,NOP,DAL,131,110
0022300021,2023-11-14,OKC,SAS,123,87
0022300023,2023-11-14,UTA,POR,115,99
0022300026,2023-11-14,LAL,MEM,134,107
0022300019,2023-11-14,PHI,IND,126,132
0022300018,2023-11-14,DET,ATL,120,126
0022300017,2023-11-14,CHA,MIA,105,111
0022300024,2023-11-14,DEN,LAC,111,108
0022300025,2023-11-14,GSW,MIN,101,104
0022300020,2023-11-14,BKN,ORL,124,104
0022300195,2023-11-15,TOR,MIL,112,128
0022300199,2023-11-15,POR,CLE,95,109
0022300198,2023-11-15,LAL,SAC,110,125
0022300197,2023-11-15,PHX,MIN,133,115
0022300196,2023-11-15,CHI,ORL,94,96
0022300194,2023-11-15,PHI,BOS,107,117
0022300192,2023-11-15,WAS,DAL,117,130
0022300193,2023-11-15,ATL,NYK,114,116
0022300201,2023-11-16,GSW,OKC,109,128
0022300200,2023-11-16,MIA,BKN,122,115
0022300034,2023-11-17,NOP,DEN,115,110
0022300035,2023-11-17,UTA,PHX,128,131
0022300029,2023-11-17,ATL,PHI,116,126
0022300030,2023-11-17,CLE,DET,108,100
0022300031,2023-11-17,TOR,BOS,105,108
0022300032,2023-11-17,SAS,SAC,120,129
0022300033,2023-11-17,CHI,ORL,97,103
0022300037,2023-11-17,LAC,HOU,106,100
0022300036,2023-11-17,POR,LAL,95,107
0022300028,2023-11-17,WAS,NYK,99,120
0022300027,2023-11-17,CHA,MIL,99,130
0022300202,2023-11-18,CHA,NYK,108,122
0022300203,2023-11-18,NOP,MIN,120,121
0022300204,2023-11-18,CHI,MIA,102,97
0022300206,2023-11-18,SAS,MEM,108,120
0022300207,2023-11-18,GSW,OKC,123,130
0022300205,2023-11-18,MIL,DAL,132,125
0022300212,2023-11-19,DAL,SAC,113,129
0022300216,2023-11-19,LAL,HOU,105,104
0022300215,2023-11-19,POR,OKC,91,134
0022300214,2023-11-19,UTA,PHX,137,140
0022300213,2023-11-19,MEM,BOS,100,102
0022300211,2023-11-19,TOR,DET,142,113
0022300210,2023-11-19,CLE,DEN,121,109
0022300209,2023-11-19,IND,ORL,116,128
0022300208,2023-11-19,BKN,PHI,99,121
0022300224,2023-11-20,GSW,HOU,121,116
0022300223,2023-11-20,SAS,LAC,99,124
0022300222,2023-11-20,NOP,SAC,129,93
0022300221,2023-11-20,MIN,NYK,117,100
0022300220,2023-11-20,CHI,MIA,100,118
0022300219,2023-11-20,WAS,MIL,129,142
0022300218,2023-11-20,DET,DEN,103,107
0022300217,2023-11-20,CHA,BOS,121,118
0022300042,2023-11-21,LAL,UTA,131,99
0022300038,2023-11-21,ORL,TOR,126,107
0022300039,2023-11-21,ATL,IND,152,157
0022300040,2023-11-21,PHI,CLE,119,122
0022300041,2023-11-21,PHX,POR,120,107
0022300228,2023-11-22,BOS,MIL,119,116
0022300227,2023-11-22,ATL,BKN,147,145
0022300226,2023-11-22,ORL,DEN,124,119
0022300225,2023-11-22,CHA,WAS,117,114
0022300231,2023-11-22,HOU,MEM,111,91
0022300232,2023-11-22,MIN,PHI,112,99
0022300229,2023-11-22,CLE,MIA,96,129
0022300230,2023-11-22,IND,TOR,131,132
0022300238,2023-11-22,LAL,DAL,101,104
0022300233,2023-11-22,NOP,SAC,117,112
0022300234,2023-11-22,OKC,CHI,116,102
0022300235,2023-11-22,SAS,LAC,102,109
0022300236,2023-11-22,PHX,GSW,123,115
0022300237,2023-11-22,POR,UTA,121,105
0022300046,2023-11-24,TOR,CHI,121,108
0022300048,2023-11-24,HOU,DEN,105,86
0022300044,2023-11-24,MEM,PHX,89,110
0022300043,2023-11-24,ORL,BOS,113,96
0022300049,2023-11-24,MIL,WAS,131,128
0022300050,2023-11-24,MIN,SAC,111,124
0022300051,2023-11-24,GSW,SAS,118,112
0022300052,2023-11-24,LAC,NOP,106,116
0022300047,2023-11-24,IND,DET,136,113
0022300045,2023-11-24,NYK,MIA,100,98
0022300239,2023-11-25,OKC,PHI,123,127
0022300240,2023-11-25,BKN,MIA,112,97
0022300241,2023-11-25,WAS,ATL,108,136
0022300242,2023-11-25,CLE,LAL,115,121
0022300243,2023-11-25,UTA,NOP,105,100
0022300244,2023-11-25,LAC,DAL,107,88
0022300245,2023-11-26,MIL,POR,108,102
0022300247,2023-11-26,NYK,PHX,113,116
0022300246,2023-11-26,BOS,ATL,113,103
0022300251,2023-11-26,CLE,TOR,105,102
0022300250,2023-11-26,BKN,CHI,118,109
0022300252,2023-11-26,DEN,SAS,132,120
0022300248,2023-11-26,ORL,CHA,130,117
0022300249,2023-11-26,MEM,MIN,97,119
0022300257,2023-11-27,LAC,DEN,104,113
0022300256,2023-11-27,UTA,NOP,114,112
0022300255,2023-11-27,PHI,LAL,138,94
0022300254,2023-11-27,IND,POR,110,114
0022300253,2023-11-27,DET,WAS,107,126
0022300059,2023-11-28,DAL,HOU,121,115
0022300053,2023-11-28,BOS,CHI,124,97
0022300054,2023-11-28,BKN,TOR,115,103
0022300055,2023-11-28,CLE,ATL,128,105
0022300056,2023-11-28,MIA,MIL,124,131
0022300057,2023-11-28,NYK,CHA,115,91
0022300058,2023-11-28,MIN,OKC,106,103
0022300060,2023-11-28,SAC,GSW,124,123
0022300263,2023-11-29,DEN,HOU,134,124
0022300264,2023-11-29,SAC,LAC,117,131
0022300262,2023-11-29,NOP,PHI,124,114
0022300259,2023-11-29,ORL,WAS,139,120
0022300260,2023-11-29,TOR,PHX,112,105
0022300258,2023-11-29,DET,LAL,107,133
0022300261,2023-11-29,MEM,UTA,105,91
0022300273,2023-11-30,GSW,LAC,120,114
0022300270,2023-11-30,MIN,UTA,101,90
0022300271,2023-11-30,OKC,LAL,133,110
0022300269,2023-11-30,CHI,MIL,120,113
0022300272,2023-11-30,SAS,ATL,135,137
0022300267,2023-11-30,MIA,IND,142,132
0022300266,2023-11-30,BKN,CHA,128,129
0022300265,2023-11-30,CLE,POR,95,103
0022300268,2023-11-30,NYK,DET,118,112
0022300278,2023-12-01,NOP,SAS,121,106
0022300277,2023-12-01,DAL,MEM,94,108
0022300279,2023-12-01,PHX,DEN,111,119
0022300275,2023-12-01,BOS,PHI,125,119
0022300274,2023-12-01,ORL,WAS,130,125
0022300276,2023-12-01,TOR,NYK,106,119
0022300291,2023-12-02,LAL,HOU,107,97
0022300290,2023-12-02,SAC,DEN,123,117
0022300289,2023-12-02,UTA,POR,118,113
0022300288,2023-12-02,PHX,MEM,116,109
0022300287,2023-12-02,DAL,OKC,120,126
0022300286,2023-12-02,MIL,ATL,132,121
0022300285,2023-12-02,CHI,NOP,124,118
0022300283,2023-12-02,DET,CLE,101,110
0022300282,2023-12-02,BKN,ORL,129,101
0022300281,2023-12-02,CHA,MIN,117,123
0022300280,2023-12-02,LAC,GSW,113,112
0022300284,2023-12-02,MIA,IND,129,144
0022301202,2023-12-04,IND,BOS,122,112
0022301204,2023-12-04,SAC,NOP,117,127
0022301203,2023-12-05,LAL,PHX,106,103
0022301201,2023-12-05,MIL,NYK,146,122
0022301211,2023-12-06,CHI,CHA,111,100
0022301210,2023-12-06,MIN,SAS,102,94
0022301209,2023-12-06,ATL,BKN,113,114
0022301208,2023-12-06,WAS,PHI,126,131
0022301207,2023-12-06,TOR,MIA,103,112
0022301206,2023-12-06,DET,MEM,102,116
0022301205,2023-12-06,CLE,ORL,121,111
0022301213,2023-12-06,DAL,UTA,147,97
0022301214,2023-12-06,GSW,POR,110,106
0022301215,2023-12-06,LAC,DEN,111,102
0022301212,2023-12-06,HOU,OKC,110,101
0022301229,2023-12-07,MIL,IND,119,128
0022301230,2023-12-07,LAL,NOP,133,89
0022301225,2023-12-08,UTA,LAC,103,117
0022301227,2023-12-08,BOS,NYK,133,123
0022301223,2023-12-08,SAS,CHI,112,121
0022301222,2023-12-08,OKC,GSW,138,136
0022301226,2023-12-08,POR,DAL,112,125
0022301221,2023-12-08,MEM,MIN,103,127
0022301220,2023-12-08,MIA,CLE,99,111
0022301219,2023-12-08,BKN,WAS,124,97
0022301218,2023-12-08,PHI,ATL,125,114
0022301217,2023-12-08,ORL,DET,123,91
0022301216,2023-12-08,CHA,TOR,119,116
0022301228,2023-12-08,PHX,SAC,106,114
0022301224,2023-12-08,DEN,HOU,106,114
0022300292,2023-12-11,CHA,MIA,114,116
0022300295,2023-12-11,PHI,WAS,146,101
0022300296,2023-12-11,ATL,DEN,122,129
0022300297,2023-12-11,NYK,TOR,136,130
0022300298,2023-12-11,HOU,SAS,93,82
0022300299,2023-12-11,MEM,DAL,113,120
0022300300,2023-12-11,MIL,CHI,133,129
0022300301,2023-12-11,NOP,MIN,121,107
0022300302,2023-12-11,OKC,UTA,134,120
0022300303,2023-12-11,SAC,BKN,131,118
0022300304,2023-12-11,LAC,POR,132,127
0022300293,2023-12-11,DET,IND,123,131
0022300294,2023-12-11,ORL,CLE,104,94
0022300309,2023-12-12,LAC,SAC,119,99
0022300305,2023-12-12,BOS,CLE,120,113
0022300307,2023-12-12,CHI,DEN,106,114
0022300306,2023-12-12,DAL,LAL,127,125
0022300308,2023-12-12,PHX,GSW,119,116
0022300310,2023-12-13,DET,PHI,111,129
0022300311,2023-12-13,WAS,NOP,122,142
0022300312,2023-12-13,MIA,CHA,115,104
0022300313,2023-12-13,TOR,ATL,135,128
0022300314,2023-12-13,HOU,MEM,117,104
0022300315,2023-12-13,MIL,IND,140,126
0022300316,2023-12-13,SAS,LAL,119,122
0022300317,2023-12-13,PHX,BKN,112,116
0022300318,2023-12-13,UTA,NYK,117,113
0022300320,2023-12-14,MIA,CHI,116,124
0022300325,2023-12-14,LAC,GSW,121,113
0022300322,2023-12-14,DEN,BKN,124,101
0022300323,2023-12-14,POR,UTA,114,122
0022300324,2023-12-14,SAC,OKC,128,123
0022300319,2023-12-14,BOS,CLE,116,107
0022300321,2023-12-14,DAL,MIN,101,119
0022300333,2023-12-15,PHX,NYK,122,139
0022300332,2023-12-15,MEM,HOU,96,103
0022300331,2023-12-15,SAS,LAL,129,115
0022300330,2023-12-15,TOR,ATL,104,125
0022300329,2023-12-15,BOS,ORL,128,111
0022300328,2023-12-15,WAS,IND,137,123
0022300326,2023-12-15,CHA,NOP,107,112
0022300327,2023-12-15,PHI,DET,124,92
0022300340,2023-12-16,DEN,OKC,117,118
0022300334,2023-12-16,MIL,DET,146,114
0022300335,2023-12-16,CHA,PHI,82,135
0022300336,2023-12-16,CLE,ATL,127,119
0022300337,2023-12-16,MIA,CHI,118,116
0022300338,2023-12-16,MIN,IND,127,109
0022300342,2023-12-16,SAC,UTA,125,104
0022300341,2023-12-16,POR,DAL,120,131
0022300339,2023-12-16,GSW,BKN,124,120
0022300343,2023-12-16,LAC,NYK,144,122
0022300348,2023-12-17,POR,GSW,114,118
0022300347,2023-12-17,PHX,WAS,112,108
0022300346,2023-12-17,MIL,HOU,128,119
0022300345,2023-12-17,SAS,NOP,110,146
0022300344,2023-12-17,BOS,ORL,114,97
0022300356,2023-12-18,DEN,DAL,130,104
0022300353,2023-12-18,MIA,MIN,108,112
0022300350,2023-12-18,IND,LAC,127,151
0022300351,2023-12-18,PHI,CHI,104,108
0022300352,2023-12-18,ATL,DET,130,124
0022300355,2023-12-18,OKC,MEM,116,97
0022300357,2023-12-18,UTA,BKN,125,108
0022300358,2023-12-18,SAC,WAS,143,131
0022300359,2023-12-18,LAL,NYK,109,114
0022300354,2023-12-18,TOR,CHA,114,99
0022300349,2023-12-18,CLE,HOU,135,130
0022300360,2023-12-19,NOP,MEM,113,115
0022300361,2023-12-19,MIL,SAS,132,119
0022300362,2023-12-19,GSW,BOS,132,126
0022300363,2023-12-19,POR,PHX,109,104
0022300365,2023-12-20,IND,CHA,144,113
0022300367,2023-12-20,PHI,MIN,127,113
0022300368,2023-12-20,BKN,NYK,102,121
0022300369,2023-12-20,TOR,DEN,104,113
0022300370,2023-12-20,CHI,LAL,124,108
0022300371,2023-12-20,HOU,ATL,127,134
0022300372,2023-12-20,DAL,LAC,111,120
0022300373,2023-12-20,SAC,BOS,119,144
0022300364,2023-12-20,CLE,UTA,124,116
0022300366,2023-12-20,ORL,MIA,106,115
0022300380,2023-12-21,MIN,LAL,118,111
0022300374,2023-12-21,DET,UTA,111,119
0022300375,2023-12-21,CLE,NOP,104,123
0022300376,2023-12-21,CHI,SAS,114,95
0022300378,2023-12-21,MIL,ORL,118,114
0022300377,2023-12-21,MEM,IND,116,103
0022300379,2023-12-21,OKC,LAC,134,115
0022300381,2023-12-21,POR,WAS,117,118
0022300385,2023-12-22,HOU,DAL,122,96
0022300382,2023-12-22,PHI,TOR,121,111
0022300384,2023-12-22,MIA,ATL,122,113
0022300387,2023-12-22,SAC,PHX,120,105
0022300383,2023-12-22,BKN,DEN,117,122
0022300386,2023-12-22,GSW,WAS,129,118
0022300388,2023-12-23,NYK,MIL,111,130
0022300389,2023-12-23,LAC,BOS,108,145
0022300390,2023-12-23,CHA,DEN,95,102
0022300391,2023-12-23,IND,ORL,110,117
0022300392,2023-12-23,NOP,HOU,104,106
0022300393,2023-12-23,ATL,MEM,119,125
0022300394,2023-12-23,BKN,DET,126,115
0022300397,2023-12-23,OKC,LAL,120,129
0022300398,2023-12-23,DAL,SAS,144,119
0022300399,2023-12-23,GSW,POR,126,106
0022300400,2023-12-23,SAC,MIN,98,110
0022300395,2023-12-23,TOR,UTA,119,126
0022300396,2023-12-23,CHI,CLE,95,109
0022300401,2023-12-25,NYK,MIL,129,122
0022300402,2023-12-25,DEN,GSW,120,114
0022300403,2023-12-25,LAL,BOS,115,126
0022300404,2023-12-25,MIA,PHI,119,113
0022300405,2023-12-25,PHX,DAL,114,128
0022300411,2023-12-26,OKC,MIN,129,106
0022300410,2023-12-26,NOP,MEM,115,116
0022300406,2023-12-26,DET,BKN,112,118
0022300409,2023-12-26,HOU,IND,117,123
0022300407,2023-12-26,WAS,ORL,119,127
0022300408,2023-12-26,CHI,ATL,118,113
0022300412,2023-12-26,SAS,UTA,118,130
0022300413,2023-12-26,POR,SAC,130,113
0022300414,2023-12-26,LAC,CHA,113,104
0022300419,2023-12-27,OKC,NYK,129,120
0022300415,2023-12-27,ORL,PHI,92,112
0022300416,2023-12-27,WAS,TOR,102,132
0022300417,2023-12-27,BKN,MIL,122,144
0022300418,2023-12-27,HOU,PHX,113,129
0022300420,2023-12-27,DAL,CLE,110,113
0022300428,2023-12-28,LAL,CHA,133,112
0022300427,2023-12-28,POR,SAS,105,118
0022300423,2023-12-28,MIN,DAL,118,110
0022300422,2023-12-28,CHI,IND,104,120
0022300425,2023-12-28,DEN,MEM,142,105
0022300424,2023-12-28,NOP,UTA,112,105
0022300421,2023-12-28,BOS,DET,128,122
0022300426,2023-12-28,GSW,MIA,102,114
0022300430,2023-12-29,WAS,BKN,110,104
0022300429,2023-12-29,ORL,NYK,117,108
0022300432,2023-12-29,BOS,TOR,120,118
0022300433,2023-12-29,CLE,MIL,111,119
0022300434,2023-12-29,HOU,PHI,127,131
0022300436,2023-12-29,PHX,CHA,133,119
0022300437,2023-12-29,POR,SAS,134,128
0022300438,2023-12-29,LAC,MEM,117,106
0022300431,2023-12-29,ATL,SAC,110,117
0022300435,2023-12-29,DEN,OKC,93,119
0022300442,2023-12-30,CHI,PHI,105,92
0022300439,2023-12-30,UTA,MIA,117,109
0022300440,2023-12-30,DET,TOR,129,127
0022300444,2023-12-30,GSW,DAL,122,132
0022300443,2023-12-30,MIN,LAL,108,106
0022300441,2023-12-30,IND,NYK,140,126
0022300450,2023-12-31,PHX,ORL,112,107
0022300449,2023-12-31,MEM,SAC,92,123
0022300448,2023-12-31,SAS,BOS,101,134
0022300447,2023-12-31,OKC,BKN,124,108
0022300446,2023-12-31,NOP,LAL,129,109
0022300445,2023-12-31,WAS,ATL,126,130
0022300457,2024-01-01,UTA,DAL,127,90
0022300451,2024-01-01,NYK,MIN,112,106
0022300452,2024-01-01,TOR,CLE,124,121
0022300453,2024-01-01,HOU,DET,136,113
0022300454,2024-01-01,MIL,IND,113,122
0022300455,2024-01-01,DEN,CHA,111,93
0022300456,2024-01-01,PHX,POR,109,88
0022300458,2024-01-01,LAC,MIA,121,104
0022300463,2024-01-02,GSW,ORL,121,115
0022300464,2024-01-02,SAC,CHA,104,111
0022300462,2024-01-02,OKC,BOS,127,123
0022300459,2024-01-02,PHI,CHI,110,97
0022300460,2024-01-02,MEM,SAS,106,98
0022300461,2024-01-02,NOP,BKN,112,85
0022300475,2024-01-03,LAL,MIA,96,110
0022300471,2024-01-03,MIN,NOP,106,117
0022300474,2024-01-03,UTA,DET,154,148
0022300472,2024-01-03,DAL,POR,126,97
0022300470,2024-01-03,MEM,TOR,111,116
0022300473,2024-01-03,PHX,LAC,122,131
0022300468,2024-01-03,NYK,CHI,116,100
0022300467,2024-01-03,ATL,OKC,141,138
0022300466,2024-01-03,IND,MIL,142,130
0022300465,2024-01-03,CLE,WAS,140,101
0022300476,2024-01-03,SAC,ORL,138,135
0022300469,2024-01-03,HOU,BKN,112,101
0022300477,2024-01-04,SAS,MIL,121,125
0022300478,2024-01-04,GSW,DEN,127,130
0022300479,2024-01-05,BOS,UTA,126,97
0022300483,2024-01-05,PHI,NYK,92,128
0022300484,2024-01-05,CHI,CHA,104,91
0022300485,2024-01-05,HOU,MIN,95,122
0022300486,2024-01-05,NOP,LAC,95,111
0022300487,2024-01-05,DAL,POR,139,103
0022300488,2024-01-05,DEN,ORL,120,122
0022300489,2024-01-05,PHX,MIA,113,97
0022300490,2024-01-05,GSW,DET,113,109
0022300491,2024-01-05,LAL,MEM,113,127
0022300492,2024-01-05,SAC,TOR,135,130
0022300481,2024-01-05,BKN,OKC,124,115
0022300482,2024-01-05,CLE,WAS,114,90
0022300480,2024-01-05,IND,ATL,150,116
0022300496,2024-01-06,HOU,MIL,112,108
0022300493,2024-01-06,IND,BOS,101,118
0022300495,2024-01-06,PHI,UTA,109,120
0022300494,2024-01-06,WAS,NYK,105,121
0022300497,2024-01-07,CLE,SAS,117,115
0022300498,2024-01-07,BKN,POR,127,134
0022300499,2024-01-07,ORL,ATL,117,110
0022300500,2024-01-07,SAC,NOP,100,133
0022300501,2024-01-07,DAL,MIN,115,108
0022300502,2024-01-07,DEN,DET,131,114
0022300503,2024-01-07,PHX,MEM,115,121
0022300504,2024-01-07,GSW,TOR,118,133
0022300505,2024-01-07,LAL,LAC,106,103
0022300510,2024-01-08,MIL,UTA,116,132
0022300506,2024-01-08,CHA,CHI,112,119
0022300507,2024-01-08,IND,BOS,133,131
0022300508,2024-01-08,WAS,OKC,128,136
0022300509,2024-01-08,MIA,HOU,120,113
0022300511,2024-01-08,LAC,PHX,138,111
0022300514,2024-01-09,NYK,POR,112,84
0022300515,2024-01-09,DAL,MEM,103,120
0022300513,2024-01-09,ORL,MIN,92,113
0022300512,2024-01-09,DET,SAC,110,131
0022300516,2024-01-09,LAL,TOR,132,131
0022300520,2024-01-10,IND,WAS,112,104
0022300521,2024-01-10,ATL,PHI,139,132
0022300523,2024-01-10,CHI,HOU,124,119
0022300524,2024-01-10,UTA,DEN,124,111
0022300525,2024-01-10,GSW,NOP,105,141
0022300522,2024-01-10,MIA,OKC,120,128
0022300519,2024-01-10,DET,SAS,108,130
0022300518,2024-01-10,CHA,SAC,98,123
0022300517,2024-01-10,BOS,MIN,127,120
0022300526,2024-01-10,LAC,TOR,126,120
0022300529,2024-01-11,OKC,POR,139,77
0022300530,2024-01-11,DAL,NYK,128,124
0022300531,2024-01-11,LAL,PHX,109,127
0022300528,2024-01-11,MIL,BOS,135,102
0022300527,2024-01-11,CLE,BKN,111,102
0022300532,2024-01-12,PHI,SAC,112,93
0022300533,2024-01-12,ATL,IND,108,126
0022300537,2024-01-12,MEM,LAC,119,128
0022300535,2024-01-12,MIA,ORL,99,96
0022300541,2024-01-12,SAS,CHA,135,99
0022300540,2024-01-12,UTA,TOR,145,113
0022300539,2024-01-12,DEN,NOP,125,113
0022300538,2024-01-12,MIN,POR,116,93
0022300534,2024-01-12,DET,HOU,110,112
0022300536,2024-01-12,CHI,GSW,131,140
0022300545,2024-01-13,MIL,GSW,129,118
0022300546,2024-01-13,OKC,ORL,112,100
0022300548,2024-01-13,SAS,CHI,116,122
0022300549,2024-01-13,UTA,LAL,132,125
0022300543,2024-01-13,ATL,WAS,99,127
0022300544,2024-01-13,MEM,NYK,94,106
0022300542,2024-01-13,BOS,HOU,145,113
0022300547,2024-01-13,DAL,NOP,108,118
0022300550,2024-01-14,DEN,IND,117,109
0022300551,2024-01-14,MIA,CHA,104,87
0022300552,2024-01-14,MIL,SAC,143,142
0022300553,2024-01-14,MIN,LAC,109,105
0022300554,2024-01-14,POR,PHX,116,127
